Ano,Evento,Link,haveSite,haveProgram,haveVideo,haveSlide,considered
2009,Ghent - Belgium,https://devopsdays.org/events/2009-ghent/program,True,True,True,True,True
2010,Sydney - Australia,https://devopsdays.org/events/2010-sydney/program,True,False,False,False,True
2010,Mountain View - United States,https://devopsdays.org/events/2010-us/program,True,True,True,False,True
2010,Hamburg - Germany,https://devopsdays.org/events/2010-europe/program,True,True,True,True,True
2010,São Paulo - Brazil,https://devopsdays.org/events/2010-brazil/program,True,True,True,False,True
2011,Boston - United States,https://devopsdays.org/events/2011-boston/program,True,True,False,True,True
2011,Mountain View - United States,https://devopsdays.org/events/2011-mountainview/program,True,True,False,False,True
2011,Melbourne - Australia,https://devopsdays.org/events/2011-melbourne/program,True,False,False,False,True
2011,Bangalore - India,https://devopsdays.org/events/2011-bangalore/program,True,True,False,False,True
2011,Göteborg - Sweden,https://devopsdays.org/events/2011-goteborg/program,True,True,False,True,True
2011,Manila - Philippines,https://devopsdays.org/events/2011-manila/program,True,True,False,False,True
2012,Austin - United States,https://devopsdays.org/events/2012-austin/program,True,True,False,False,True
2012,Tokyo - Japan,https://devopsdays.org/events/2012-tokyo/program,True,True,False,False,True
2012,Mountain View - United States,https://devopsdays.org/events/2012-mountainview/program,True,True,True,False,True
2012,Delhi - India,https://devopsdays.org/events/2012-india/program,True,True,False,False,True
2012,Rome - Italy,https://devopsdays.org/events/2012-italy/program,True,True,False,False,True
2013,New York - United States,https://devopsdays.org/events/2012-newyork/program,True,True,False,False,True
2013,New Zealand - New Zealand,https://devopsdays.org/events/2013-newzealand/program,True,True,False,False,True
2013,London - United Kingdom,https://devopsdays.org/events/2013-london-spring/program,True,True,False,False,True
2013,Paris - France,https://devopsdays.org/events/2013-paris/program,True,True,False,False,True
2013,Austin - United States,https://devopsdays.org/events/2013-austin/program,True,True,False,False,True
2013,Berlin - Germany,https://devopsdays.org/events/2013-berlin/program,True,True,False,True,True
2013,Amsterdam - The Netherlands,https://devopsdays.org/events/2013-amsterdam/program,True,True,False,False,True
2013,Silicon Valley - United States,https://devopsdays.org/events/2013-mountainview/program,True,True,False,False,True
2013,Sydney - Australia,https://devopsdays.org/events/2013-downunder/program,True,True,False,False,True
2013,Tokyo - Japan,https://devopsdays.org/events/2013-tokyo/program,True,True,False,False,True
2013,Tel Aviv - Israel,https://devopsdays.org/events/2013-telaviv/program,True,True,False,False,True
2013,Atlanta - United States,https://devopsdays.org/events/2013-atlanta/program,True,True,False,False,True
2013,Barcelona - Spain,https://devopsdays.org/events/2013-barcelona/program,True,True,False,False,True
2013,New York - United States,https://devopsdays.org/events/2013-newyork/program,True,True,False,False,True
